               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12341,            0.020913,            0.031632,          9.8384e-06,           0.0035651,          5.0419e-06,          1.6297e-06,             0.11012,            0.020714,            0.028377,              0.0004,              0.0004,              0.0964
                   1,             0.11986,            0.017824,            0.031059,          5.6003e-06,          0.00089127,          2.6237e-06,          6.5099e-07,             0.10831,            0.019165,            0.027446,          0.00080998,          0.00080998,             0.09271
                   2,             0.11713,            0.017933,            0.029754,          9.7757e-05,           0.0062389,          2.8979e-05,          7.3302e-06,             0.10978,            0.018698,            0.026357,           0.0012199,           0.0012199,             0.08902
                   3,             0.11381,            0.017818,            0.029462,              0.1669,           0.0053476,          3.7542e-05,          8.3088e-06,             0.10687,            0.018791,            0.026383,           0.0016296,           0.0016296,             0.08533
                   4,             0.11306,            0.018281,            0.029182,             0.16738,           0.0018121,          0.00015443,          5.2051e-05,             0.10453,            0.018799,            0.025806,           0.0020392,           0.0020392,            0.081639
                   5,             0.10901,            0.018267,            0.028249,             0.16871,           0.0064457,            0.002462,          0.00055781,             0.10183,            0.019368,            0.025384,           0.0024485,           0.0024485,            0.077948
                   6,             0.10317,            0.018675,            0.028419,            0.042864,            0.080885,            0.018047,           0.0044145,            0.095767,            0.019705,            0.025056,           0.0028575,           0.0028575,            0.074257
                   7,            0.098576,            0.019324,            0.028703,            0.044443,              0.1064,            0.021504,           0.0054955,            0.089289,            0.018753,            0.024195,            0.003266,            0.003266,            0.070566
                   8,            0.094219,            0.018401,            0.027732,             0.10254,             0.16907,            0.074886,            0.021697,            0.085492,            0.017615,            0.023136,           0.0036742,           0.0036742,            0.066874
                   9,            0.091566,            0.017597,            0.026286,             0.12461,             0.18067,            0.070882,            0.018248,            0.089345,            0.016406,            0.022292,           0.0040818,           0.0040818,            0.063182
                  10,             0.09065,            0.017109,            0.026303,             0.14528,             0.17667,            0.073822,            0.019996,              0.0815,            0.016422,            0.022323,           0.0044889,           0.0044889,            0.059489
                  11,            0.087488,            0.016918,            0.024438,             0.20202,             0.28224,             0.14405,            0.044588,            0.077887,            0.016167,            0.022037,           0.0048954,           0.0048954,            0.055795
                  12,            0.089628,            0.016233,            0.025404,             0.21215,             0.29184,             0.15275,            0.048333,            0.081152,            0.015234,            0.021323,           0.0053011,           0.0053011,            0.052101
                  13,            0.087935,            0.015961,            0.023891,             0.37546,             0.26422,             0.20962,            0.068939,             0.07717,            0.015336,            0.019466,           0.0057061,           0.0057061,            0.048406
                  14,            0.086077,            0.017028,            0.023754,              0.3342,             0.28276,             0.21011,            0.072248,            0.080515,            0.014798,            0.019213,           0.0061104,           0.0061104,             0.04471
                  15,            0.085599,            0.015997,            0.022684,              0.4338,             0.29889,             0.24542,            0.084915,            0.077181,             0.01457,            0.017996,           0.0065137,           0.0065137,            0.041014
                  16,            0.087158,            0.015389,            0.023078,              0.3373,             0.30646,             0.19774,            0.052563,            0.079372,            0.014731,            0.018287,           0.0069161,           0.0069161,            0.037316
                  17,            0.087712,             0.01617,            0.021367,             0.39148,             0.29903,             0.21256,            0.066461,            0.077907,            0.015377,            0.016527,           0.0073176,           0.0073176,            0.033618
                  18,            0.086307,            0.016284,            0.020751,             0.32508,             0.36152,             0.24049,            0.085759,            0.083076,            0.014679,            0.014189,            0.007718,            0.007718,            0.029918
                  19,            0.081843,            0.015471,            0.019812,             0.38873,             0.35643,             0.25802,            0.078308,             0.07669,            0.013765,            0.016213,           0.0081173,           0.0081173,            0.026217
                  20,            0.083281,            0.015786,            0.019587,             0.36023,             0.37192,              0.2523,            0.086486,            0.077996,            0.014163,            0.016034,           0.0085154,           0.0085154,            0.022515
                  21,            0.084797,            0.015606,             0.01929,             0.47149,             0.37614,             0.30546,             0.12181,            0.073781,            0.014026,            0.014907,           0.0089124,           0.0089124,            0.018812
                  22,            0.083144,            0.015508,            0.019422,             0.34635,             0.35457,             0.23797,            0.085928,            0.077087,             0.01403,            0.014119,            0.009308,            0.009308,            0.015108
                  23,            0.087443,            0.016015,            0.018519,             0.37732,             0.33483,             0.23171,            0.073079,            0.080386,            0.014905,            0.012995,           0.0097023,           0.0097023,            0.011402
                  24,            0.085881,            0.016132,            0.019865,            0.060398,            0.091778,            0.018957,           0.0062414,              0.1076,            0.018499,             0.51953,           0.0098586,           0.0098586,           0.0098586
                  25,            0.086386,            0.015991,            0.020059,             0.36867,             0.22633,             0.15032,            0.037262,            0.088353,            0.014953,             0.16401,           0.0098586,           0.0098586,           0.0098586
                  26,            0.082793,             0.01584,             0.01866,              0.4162,               0.288,             0.24033,            0.083572,            0.077163,            0.015281,            0.013198,           0.0098467,           0.0098467,           0.0098467
                  27,            0.082425,            0.015657,            0.017698,             0.62181,             0.35892,             0.35242,             0.12147,            0.076109,            0.013636,            0.011939,           0.0098342,           0.0098342,           0.0098342
                  28,            0.087011,            0.015198,            0.018635,             0.50222,             0.34428,             0.30022,             0.10526,            0.076113,            0.014077,            0.013968,           0.0098213,           0.0098213,           0.0098213
                  29,            0.087062,            0.014962,            0.018749,             0.45066,             0.25564,             0.20388,            0.053996,             0.08606,            0.017409,            0.052305,           0.0098079,           0.0098079,           0.0098079
                  30,            0.087896,            0.015939,            0.019662,              0.3963,              0.1771,             0.15344,            0.051753,            0.089842,            0.017998,            0.017539,           0.0097941,           0.0097941,           0.0097941
                  31,            0.087922,            0.016243,            0.020819,             0.33591,             0.26766,             0.19419,            0.064231,            0.085187,            0.015984,             0.11295,           0.0097798,           0.0097798,           0.0097798
                  32,            0.089283,            0.016899,            0.019168,             0.14783,             0.14091,            0.042297,            0.012371,            0.094361,            0.019551,            0.023509,            0.009765,            0.009765,            0.009765
                  33,             0.08978,            0.016545,            0.019973,             0.48352,             0.29674,              0.2456,            0.089532,            0.082057,            0.015682,            0.015947,           0.0097497,           0.0097497,           0.0097497
                  34,            0.085263,            0.015905,            0.018014,              0.5045,             0.34399,             0.31445,             0.11649,            0.077995,            0.015383,            0.013063,            0.009734,            0.009734,            0.009734
                  35,            0.087199,            0.015401,            0.019059,             0.43969,              0.2836,             0.22951,            0.068671,            0.083674,            0.014521,             0.01581,           0.0097178,           0.0097178,           0.0097178
                  36,              0.0848,            0.015767,            0.019159,             0.43121,             0.28434,             0.25077,            0.078069,            0.082035,            0.015797,            0.015086,           0.0097011,           0.0097011,           0.0097011
                  37,            0.089454,            0.016235,            0.018362,             0.54481,             0.33797,             0.30392,             0.10431,            0.077724,            0.015988,            0.015068,            0.009684,            0.009684,            0.009684
                  38,            0.084819,            0.015461,            0.017681,             0.29807,             0.25186,             0.17426,            0.051977,            0.083822,            0.016634,            0.017684,           0.0096664,           0.0096664,           0.0096664
                  39,            0.082925,            0.015758,            0.016888,             0.56292,             0.35506,             0.34643,             0.12524,            0.075531,            0.014021,            0.011246,           0.0096484,           0.0096484,           0.0096484
                  40,            0.084855,            0.015276,            0.018055,             0.65523,             0.31022,             0.32845,             0.11174,            0.077517,            0.015262,            0.013272,           0.0096299,           0.0096299,           0.0096299
                  41,            0.082006,            0.016075,            0.016554,             0.68527,              0.3565,               0.356,             0.11571,            0.072782,            0.013332,           0.0096226,            0.009611,            0.009611,            0.009611
                  42,            0.079848,            0.015007,            0.014951,             0.64015,             0.36629,             0.35606,             0.11646,            0.073219,            0.013066,            0.009121,           0.0095916,           0.0095916,           0.0095916
                  43,            0.084188,            0.015371,            0.015182,             0.74102,             0.38387,             0.38867,             0.14026,             0.07423,            0.012802,           0.0085986,           0.0095717,           0.0095717,           0.0095717
                  44,            0.082056,             0.01491,            0.014557,             0.63447,             0.41222,             0.37103,             0.13616,            0.073225,            0.012873,           0.0085494,           0.0095514,           0.0095514,           0.0095514
                  45,            0.083193,            0.014746,            0.015402,             0.73111,             0.39581,             0.41555,              0.1469,            0.075342,            0.013155,           0.0080687,           0.0095307,           0.0095307,           0.0095307
                  46,            0.079214,            0.014444,            0.014541,             0.74113,             0.39151,             0.40965,              0.1596,            0.071464,            0.012989,           0.0083374,           0.0095095,           0.0095095,           0.0095095
                  47,            0.082836,            0.015177,            0.014262,             0.76812,              0.4182,             0.43513,             0.16918,            0.071777,            0.012382,           0.0081897,           0.0094879,           0.0094879,           0.0094879
                  48,            0.078164,            0.013839,             0.01243,             0.73915,             0.40595,              0.4233,              0.1605,            0.070657,            0.012304,           0.0072846,           0.0094659,           0.0094659,           0.0094659
                  49,            0.077881,            0.014605,             0.01191,             0.77833,             0.43652,             0.46397,             0.18957,            0.072514,             0.01246,           0.0070131,           0.0094434,           0.0094434,           0.0094434
                  50,             0.08007,            0.014065,            0.012056,             0.68123,             0.36673,             0.38246,             0.14362,            0.074157,            0.013442,           0.0084934,           0.0094205,           0.0094205,           0.0094205
                  51,            0.082033,            0.014971,            0.014554,             0.65869,             0.42272,              0.4174,             0.14959,            0.074685,             0.01225,           0.0080258,           0.0093971,           0.0093971,           0.0093971
                  52,            0.082141,             0.01515,            0.014364,              0.6174,             0.36364,             0.33981,             0.10301,            0.076029,            0.013921,           0.0086717,           0.0093733,           0.0093733,           0.0093733
                  53,            0.080457,            0.014632,            0.013618,             0.62839,             0.38743,             0.36854,              0.1363,            0.073977,             0.01331,           0.0085103,           0.0093491,           0.0093491,           0.0093491
                  54,            0.079606,            0.014881,            0.013225,             0.75682,             0.42891,             0.43598,             0.16569,            0.072811,            0.012404,           0.0069851,           0.0093245,           0.0093245,           0.0093245
                  55,            0.080673,            0.015065,             0.01446,             0.72226,             0.37786,             0.39465,             0.13658,            0.072631,            0.013688,           0.0091942,           0.0092995,           0.0092995,           0.0092995
                  56,            0.084161,            0.015997,            0.016577,             0.63752,             0.30859,             0.31299,             0.10932,            0.074992,            0.014402,            0.011239,            0.009274,            0.009274,            0.009274
                  57,            0.082855,            0.015533,             0.01514,             0.66399,             0.37291,             0.38743,             0.14694,            0.072807,            0.013441,           0.0094823,           0.0092481,           0.0092481,           0.0092481
                  58,            0.081393,            0.015291,            0.013643,             0.62233,             0.36283,             0.34491,             0.11204,            0.073766,            0.013304,           0.0090457,           0.0092219,           0.0092219,           0.0092219
                  59,            0.079599,              0.0148,            0.012844,             0.78174,              0.3726,             0.40107,             0.14681,            0.071269,            0.012932,           0.0082318,           0.0091952,           0.0091952,           0.0091952
