               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12825,            0.018282,            0.032124,          6.1492e-05,          0.00089127,          2.0871e-06,          4.1742e-07,             0.11123,            0.018686,            0.028602,              0.0003,              0.0003,              0.0973
                   1,             0.11879,            0.016385,            0.030565,          1.1741e-05,          0.00089127,          1.5351e-06,          3.0702e-07,             0.10813,            0.017946,            0.027782,          0.00060998,          0.00060998,             0.09451
                   2,             0.11774,            0.016873,            0.030328,          7.4186e-05,           0.0052462,          3.8481e-05,          4.6117e-06,              0.1057,            0.018114,            0.026588,          0.00091991,          0.00091991,             0.09172
                   3,             0.11513,            0.017901,            0.029903,          1.1588e-05,           0.0035651,          6.2648e-06,          1.1237e-06,              0.1044,            0.018191,            0.025999,           0.0012297,           0.0012297,             0.08893
                   4,              0.1113,            0.017131,            0.029001,                   0,                   0,                   0,                   0,             0.10391,            0.018301,            0.025274,           0.0015394,           0.0015394,            0.086139
                   5,             0.11203,            0.017846,            0.029257,                   0,                   0,                   0,                   0,             0.10283,            0.018109,            0.025254,           0.0018489,           0.0018489,            0.083349
                   6,             0.11163,            0.018371,            0.028891,          0.00072803,            0.010991,          0.00038572,          0.00015377,             0.10112,            0.018507,            0.024429,           0.0021581,           0.0021581,            0.080558
                   7,             0.10868,            0.019056,             0.02855,           0.0046818,             0.12629,           0.0040966,           0.0011328,            0.097817,            0.019411,            0.024438,            0.002467,            0.002467,            0.077767
                   8,             0.10534,            0.018958,            0.028462,            0.023367,            0.090186,             0.01353,           0.0032314,              0.0945,            0.018873,            0.024692,           0.0027756,           0.0027756,            0.074976
                   9,            0.097324,            0.018483,            0.028328,             0.20008,            0.051574,            0.018005,           0.0033885,            0.090734,            0.017818,            0.024938,           0.0030838,           0.0030838,            0.072184
                  10,            0.093003,            0.018216,            0.028891,            0.094841,             0.12843,            0.048223,            0.013845,            0.090132,            0.017368,            0.025582,           0.0033916,           0.0033916,            0.069392
                  11,            0.093703,            0.018059,             0.02823,            0.064996,              0.1939,            0.052134,            0.012038,            0.087778,            0.016472,            0.025071,           0.0036989,           0.0036989,            0.066599
                  12,            0.090798,            0.017035,            0.028283,             0.11192,             0.14074,            0.052402,            0.011735,            0.092357,            0.016513,            0.025308,           0.0040057,           0.0040057,            0.063806
                  13,            0.088595,            0.017391,            0.027376,             0.14273,             0.22412,             0.10227,            0.034012,            0.081174,            0.016028,            0.024663,            0.004312,            0.004312,            0.061012
                  14,            0.089966,            0.017032,            0.027011,             0.16113,             0.22152,            0.077126,            0.019804,            0.088185,            0.014832,              0.0244,           0.0046176,           0.0046176,            0.058218
                  15,            0.088857,            0.017081,            0.026404,             0.13406,             0.23488,            0.099571,            0.024681,            0.082368,            0.014693,            0.023186,           0.0049226,           0.0049226,            0.055423
                  16,            0.087016,            0.016968,            0.025961,             0.25584,              0.2729,             0.15598,            0.048514,            0.078615,            0.015151,            0.023125,           0.0052269,           0.0052269,            0.052627
                  17,            0.090179,            0.016291,            0.026366,             0.28463,             0.30626,             0.17455,             0.05413,            0.076547,            0.015192,            0.021749,           0.0055304,           0.0055304,             0.04983
                  18,            0.085706,            0.016655,            0.024594,             0.30205,             0.27886,              0.1818,            0.054705,            0.080546,            0.014539,            0.021101,           0.0058331,           0.0058331,            0.047033
