               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13305,            0.033854,            0.057122,                   0,                   0,                   0,                   0,              0.1048,            0.027063,            0.048147,               7e-05,               7e-05,             0.09937
                   1,             0.13014,             0.02557,            0.055488,           4.002e-05,          0.00092081,          1.3493e-05,          2.6985e-06,             0.10586,            0.020749,            0.045121,             0.00015,             0.00015,             0.09865
                   2,             0.12723,            0.023177,            0.052569,                   0,                   0,                   0,                   0,             0.10828,              0.0192,             0.04344,          0.00022998,          0.00022998,             0.09793
                   3,              0.1258,            0.024147,            0.051723,           6.642e-06,           0.0017825,          3.3987e-06,          5.1255e-07,             0.10673,            0.019008,            0.043666,          0.00030992,          0.00030992,             0.09721
                   4,             0.12314,            0.024098,            0.050973,                   0,                   0,                   0,                   0,             0.10632,            0.018977,             0.04367,          0.00038983,          0.00038983,             0.09649
                   5,             0.12218,            0.025069,            0.050871,          9.1541e-06,           0.0026738,           4.543e-06,          1.3625e-06,             0.11006,            0.019111,             0.04554,          0.00046968,          0.00046968,             0.09577
                   6,             0.11995,            0.025815,            0.049846,          8.4237e-06,           0.0026738,          4.2796e-06,          5.6913e-07,              0.1098,            0.017965,            0.044867,          0.00054946,          0.00054946,            0.095049
                   7,              0.1187,            0.026888,            0.050891,                   0,                   0,                   0,                   0,             0.10808,            0.018936,            0.044063,          0.00062916,          0.00062916,            0.094329
                   8,             0.11797,            0.028014,            0.050634,            6.21e-06,          0.00089127,          2.5053e-06,          1.0021e-06,             0.10898,            0.018579,            0.045062,          0.00070877,          0.00070877,            0.093609
                   9,             0.11577,            0.028801,            0.049975,          8.7633e-06,           0.0017825,           4.013e-06,          9.8762e-07,             0.10792,            0.019272,            0.044684,          0.00078826,          0.00078826,            0.092888
                  10,             0.11437,            0.028856,            0.049191,          7.6455e-06,          0.00089127,           3.839e-06,          7.6779e-07,             0.10516,            0.020341,            0.044213,          0.00086764,          0.00086764,            0.092168
                  11,             0.11358,            0.029273,            0.048496,                   0,                   0,                   0,                   0,             0.10219,            0.020754,            0.043889,          0.00094688,          0.00094688,            0.091447
                  12,              0.1135,            0.028931,            0.047717,                   0,                   0,                   0,                   0,             0.10127,            0.021249,            0.043403,            0.001026,            0.001026,            0.090726
                  13,             0.11244,            0.029354,            0.047676,           2.358e-06,          0.00089127,          1.1871e-06,          2.3741e-07,             0.10032,            0.021888,            0.042291,           0.0011049,           0.0011049,            0.090005
                  14,             0.11311,            0.030137,            0.048473,                   0,                   0,                   0,                   0,             0.09806,            0.021286,            0.041878,           0.0011837,           0.0011837,            0.089284
                  15,             0.11183,            0.030119,            0.047162,          0.00011384,           0.0059804,          5.7637e-05,          1.7517e-05,            0.095461,            0.021762,            0.042231,           0.0012623,           0.0012623,            0.088562
                  16,             0.11205,            0.030002,            0.046087,          0.00017862,            0.012486,          9.1825e-05,          3.3799e-05,            0.094643,             0.02173,            0.041526,           0.0013406,           0.0013406,            0.087841
                  17,             0.11135,            0.030135,            0.048336,          0.00017528,           0.0027989,          8.4845e-05,          1.8751e-05,            0.093668,            0.022134,            0.041332,           0.0014188,           0.0014188,            0.087119
                  18,             0.11122,            0.030222,            0.047844,          0.00037854,            0.029359,          0.00020936,          5.4959e-05,            0.093247,            0.021875,            0.041561,           0.0014968,           0.0014968,            0.086397
                  19,             0.11126,            0.030222,            0.046562,          0.00085966,            0.066784,          0.00050989,          0.00010662,            0.091827,            0.022452,            0.041363,           0.0015745,           0.0015745,            0.085674
                  20,             0.11112,            0.030585,            0.045818,           0.0035221,            0.014554,           0.0013308,          0.00026685,            0.090881,            0.022131,            0.038849,           0.0016519,           0.0016519,            0.084952
                  21,              0.1101,            0.030214,            0.046075,             0.17781,           0.0055249,           0.0021353,          0.00046668,            0.089624,            0.021989,            0.040619,           0.0017291,           0.0017291,            0.084229
                  22,             0.10776,             0.03042,            0.044575,             0.69747,           0.0082873,           0.0056755,           0.0013822,            0.089036,            0.021473,            0.037744,           0.0018061,           0.0018061,            0.083506
                  23,             0.10632,            0.030532,            0.045269,            0.012792,            0.027624,           0.0077176,           0.0017316,            0.087879,            0.022443,            0.036765,           0.0018827,           0.0018827,            0.082783
                  24,             0.10074,            0.031126,            0.044909,             0.35278,            0.016575,           0.0071942,           0.0015364,            0.089685,            0.020363,            0.036384,           0.0019591,           0.0019591,            0.082059
                  25,            0.099362,            0.030428,            0.042688,            0.036162,            0.047788,            0.013453,           0.0029718,             0.08224,            0.022005,            0.036235,           0.0020351,           0.0020351,            0.081335
                  26,            0.098465,            0.030347,            0.041997,            0.051173,            0.042793,            0.014816,           0.0033553,            0.086258,            0.021641,            0.035969,           0.0021108,           0.0021108,            0.080611
                  27,            0.097566,            0.028953,            0.042946,             0.20262,            0.018416,            0.016155,           0.0032097,            0.085442,            0.020763,            0.035284,           0.0021862,           0.0021862,            0.079886
                  28,            0.095437,            0.028813,            0.042416,            0.038036,             0.09631,            0.020673,           0.0046581,            0.082509,            0.021708,             0.03498,           0.0022612,           0.0022612,            0.079161
                  29,            0.095296,            0.027894,            0.040873,            0.094107,            0.061744,             0.03361,           0.0067735,            0.080796,            0.021156,             0.03463,           0.0023359,           0.0023359,            0.078436
                  30,            0.092576,            0.028575,             0.04211,            0.085485,            0.061727,            0.021701,           0.0045117,            0.081562,            0.019192,            0.034702,           0.0024102,           0.0024102,             0.07771
                  31,            0.092295,            0.027544,            0.040967,             0.23008,            0.056688,            0.034635,           0.0084848,            0.082447,            0.020432,            0.035167,           0.0024841,           0.0024841,            0.076984
                  32,              0.0932,            0.027131,            0.040669,             0.72854,            0.041436,            0.034162,           0.0077292,            0.082798,            0.020831,            0.035125,           0.0025576,           0.0025576,            0.076258
                  33,            0.091373,            0.026376,            0.039549,            0.093423,             0.16104,            0.060681,            0.012858,             0.07549,            0.020134,            0.035415,           0.0026307,           0.0026307,            0.075531
                  34,             0.09068,            0.026738,            0.040204,            0.064158,             0.15428,            0.044859,              0.0101,              0.0793,             0.01945,            0.037092,           0.0027034,           0.0027034,            0.074803
                  35,            0.090571,            0.026178,            0.041291,            0.082864,             0.13146,            0.054479,            0.013152,            0.076669,             0.02146,            0.036611,           0.0027756,           0.0027756,            0.074076
                  36,             0.09005,            0.026375,            0.039019,            0.068289,             0.17391,            0.073482,            0.019221,            0.075113,            0.020997,            0.035821,           0.0028475,           0.0028475,            0.073347
