               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1265,            0.030833,            0.052992,          5.0969e-06,          0.00089127,           2.559e-06,           2.559e-07,             0.10937,            0.024705,            0.047394,             0.00015,             0.00015,             0.09865
                   1,             0.12349,            0.025661,            0.051848,          1.2187e-05,          0.00089127,          1.9937e-06,          1.1962e-06,             0.10622,            0.022471,            0.045292,          0.00030917,          0.00030917,            0.097209
                   2,             0.12435,            0.024347,            0.051727,                   0,                   0,                   0,                   0,             0.10506,            0.022402,            0.043488,          0.00046748,          0.00046748,            0.095767
                   3,             0.12286,            0.025509,            0.051194,                   0,                   0,                   0,                   0,             0.10306,            0.022588,            0.043437,          0.00062494,          0.00062494,            0.094325
                   4,             0.11842,            0.026474,            0.049667,          1.2342e-05,          0.00089127,          6.2106e-06,          6.2106e-07,             0.10185,            0.023152,             0.04361,          0.00078155,          0.00078155,            0.092882
                   5,             0.11768,            0.027086,            0.048476,                   0,                   0,                   0,                   0,             0.10109,            0.023094,             0.04093,          0.00093729,          0.00093729,            0.091437
                   6,             0.11457,            0.027449,            0.047959,                   0,                   0,                   0,                   0,             0.10162,            0.022516,            0.041081,           0.0010922,           0.0010922,            0.089992
                   7,             0.11646,            0.028931,            0.047643,          6.7668e-05,          0.00092081,          3.4208e-05,          1.0262e-05,               0.103,            0.021987,            0.041064,           0.0012462,           0.0012462,            0.088546
                   8,             0.11334,            0.029045,             0.04557,          5.8893e-05,          0.00092081,          2.9906e-05,          8.9719e-06,             0.10058,            0.022598,            0.038541,           0.0013994,           0.0013994,            0.087099
                   9,             0.11435,            0.028679,            0.046851,          0.00010908,          0.00092081,          5.5005e-05,          1.6501e-05,            0.098775,            0.023032,            0.039513,           0.0015517,           0.0015517,            0.085652
                  10,             0.11449,            0.029348,            0.047191,          0.00011837,          0.00092081,          6.0115e-05,          1.8034e-05,            0.099901,            0.023164,            0.038295,           0.0017032,           0.0017032,            0.084203
                  11,             0.11073,            0.029063,            0.044321,          0.00023319,           0.0064457,          0.00015431,          4.0283e-05,            0.097758,            0.023968,            0.040978,           0.0018538,           0.0018538,            0.082754
                  12,             0.11332,            0.029553,            0.045696,           0.0001375,             0.01105,          9.1825e-05,          2.4614e-05,            0.098573,            0.023737,            0.040127,           0.0020035,           0.0020035,            0.081304
                  13,             0.11432,            0.029386,            0.043502,           0.0035699,            0.028172,           0.0021767,          0.00024942,            0.098329,            0.023896,            0.037752,           0.0021524,           0.0021524,            0.079852
                  14,             0.11248,            0.029975,            0.042919,           0.0033584,            0.072851,           0.0021823,          0.00049395,            0.097486,            0.023869,            0.039546,           0.0023005,           0.0023005,              0.0784
                  15,              0.1078,            0.029612,            0.042599,             0.50588,            0.020258,             0.00484,           0.0013034,            0.096216,            0.024096,            0.035903,           0.0024477,           0.0024477,            0.076948
                  16,             0.10951,              0.0303,            0.042729,             0.18797,            0.039195,           0.0078919,           0.0019243,            0.095018,            0.024155,            0.034907,            0.002594,            0.002594,            0.075494
                  17,               0.105,            0.030569,            0.040348,            0.023983,             0.10789,            0.012502,           0.0027444,            0.092713,            0.023906,            0.034922,           0.0027395,           0.0027395,            0.074039
                  18,             0.10482,            0.029755,             0.04093,           0.0096876,            0.086764,           0.0049009,           0.0011606,            0.096136,            0.021322,            0.033759,           0.0028841,           0.0028841,            0.072584
                  19,             0.10053,            0.028165,            0.038817,            0.070366,            0.058509,            0.021097,           0.0041274,            0.090195,            0.022289,            0.036084,           0.0030278,           0.0030278,            0.071128
                  20,            0.098764,            0.028111,            0.038071,            0.039861,             0.14228,            0.018148,           0.0037843,            0.087192,            0.021613,            0.033573,           0.0031707,           0.0031707,            0.069671
                  21,            0.092802,            0.027956,            0.037187,             0.05624,             0.14903,            0.039753,           0.0094815,            0.090397,            0.021621,            0.035277,           0.0033128,           0.0033128,            0.068213
                  22,            0.094052,            0.028016,            0.036008,             0.09226,             0.19071,            0.069202,            0.016159,             0.08256,            0.021414,            0.034296,            0.003454,            0.003454,            0.066754
                  23,            0.093217,            0.028149,            0.036185,            0.073663,             0.17709,            0.050025,            0.011965,            0.085371,            0.024947,            0.032647,           0.0035943,           0.0035943,            0.065294
                  24,            0.091721,             0.02711,            0.034923,             0.11242,             0.22406,            0.078335,            0.022008,            0.085256,            0.022596,            0.030106,           0.0037338,           0.0037338,            0.063834
                  25,            0.089019,            0.025484,            0.033199,              0.1384,             0.24762,             0.12079,            0.031483,            0.082097,            0.020561,            0.029504,           0.0038724,           0.0038724,            0.062372
                  26,            0.091552,            0.026652,            0.033133,             0.14195,              0.2727,             0.10366,              0.0247,            0.082653,            0.020257,             0.02956,           0.0040102,           0.0040102,             0.06091
                  27,            0.090232,            0.025615,            0.033028,             0.10901,             0.17685,            0.065534,            0.018204,            0.084349,            0.022451,            0.031265,           0.0041471,           0.0041471,            0.059447
                  28,            0.086397,            0.026559,             0.03509,             0.17596,             0.24162,             0.11211,            0.030533,            0.082766,            0.021648,            0.029862,           0.0042831,           0.0042831,            0.057983
                  29,            0.089414,            0.025653,            0.032336,             0.18123,             0.20612,             0.10593,            0.028297,            0.080519,            0.021349,            0.032029,           0.0044183,           0.0044183,            0.056518
                  30,            0.087501,            0.025774,            0.029379,             0.15588,             0.28803,             0.12908,            0.035851,            0.080042,            0.019379,            0.027267,           0.0045527,           0.0045527,            0.055053
                  31,            0.088517,            0.024597,            0.029139,             0.28212,             0.23305,             0.14783,            0.042508,               0.083,            0.018524,            0.027622,           0.0046862,           0.0046862,            0.053586
                  32,            0.083734,            0.024434,            0.027429,             0.23304,             0.30952,             0.17941,             0.05779,            0.079509,            0.018314,            0.025506,           0.0048188,           0.0048188,            0.052119
                  33,            0.085211,            0.023604,            0.028327,             0.13868,              0.1584,            0.061976,            0.014032,            0.089009,            0.017779,            0.024326,           0.0049506,           0.0049506,            0.050651
