epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0811,3.4281,6.34184,1.58562,0.21725,0.16452,0.07105,0.02367,3.11908,inf,1.46619,0.000327869,0.000327869,0.000327869
2,38.639,2.784,2.66773,1.24955,0.29853,0.26164,0.18531,0.05691,3.15954,7.97278,1.44116,0.000654656,0.000654656,0.000654656
3,58.7063,2.64966,2.37347,1.20784,0.42622,0.28566,0.23107,0.08511,2.75654,3.13718,1.315,0.000974844,0.000974844,0.000974844
4,79.3991,2.64004,2.33227,1.19941,0.25256,0.22076,0.12821,0.03311,3.38363,3.14802,1.44889,0.0009703,0.0009703,0.0009703
5,97.9768,2.61853,2.21159,1.17729,0.22089,0.21049,0.13229,0.04286,2.98124,75.8052,1.91587,0.0009604,0.0009604,0.0009604
6,116.672,2.52305,2.06717,1.16418,0.39109,0.27868,0.22388,0.08292,2.71226,3.7345,1.20869,0.0009505,0.0009505,0.0009505
7,134.665,2.54005,2.04721,1.1422,0.64135,0.37732,0.36306,0.12698,2.60327,2.11673,1.19549,0.0009406,0.0009406,0.0009406
8,154.494,2.46738,1.9371,1.14799,0.68322,0.44128,0.41082,0.17223,2.42919,1.80083,1.16975,0.0009307,0.0009307,0.0009307
9,174.425,2.40842,1.80424,1.13062,0.65955,0.3984,0.36562,0.12479,2.60295,2.00986,1.17603,0.0009208,0.0009208,0.0009208
10,192.372,2.39575,1.83232,1.13026,0.78248,0.42633,0.43676,0.1551,2.45476,1.8736,1.14552,0.0009109,0.0009109,0.0009109
11,210.2,2.28816,1.66893,1.08985,0.78172,0.42492,0.45174,0.17238,2.47569,1.75794,1.15063,0.000901,0.000901,0.000901
12,231.064,2.33949,1.73793,1.10032,0.73711,0.4458,0.44378,0.18028,2.37273,1.74069,1.13187,0.0008911,0.0008911,0.0008911
13,250.997,2.32415,1.72893,1.10828,0.72673,0.44007,0.43597,0.18304,2.34968,1.80502,1.12612,0.0008812,0.0008812,0.0008812
14,273.13,2.29833,1.71272,1.09585,0.81798,0.47057,0.48195,0.20891,2.27912,1.65529,1.10789,0.0008713,0.0008713,0.0008713
15,293.657,2.24565,1.63946,1.08677,0.7657,0.45944,0.46536,0.20584,2.29165,1.65245,1.10864,0.0008614,0.0008614,0.0008614
16,312.334,2.2154,1.542,1.07918,0.83549,0.45484,0.48188,0.20528,2.26091,1.55817,1.09678,0.0008515,0.0008515,0.0008515
17,331.045,2.2548,1.59826,1.08025,0.65537,0.34501,0.36461,0.14259,2.46334,1.98968,1.13449,0.0008416,0.0008416,0.0008416
18,348.985,2.23806,1.57546,1.07583,0.74137,0.42996,0.38956,0.13534,2.46497,1.89861,1.1282,0.0008317,0.0008317,0.0008317
19,367.444,2.24398,1.63934,1.07454,0.82763,0.44749,0.47701,0.19215,2.3522,1.61135,1.10007,0.0008218,0.0008218,0.0008218
20,386.392,2.16792,1.50979,1.05839,0.8225,0.48041,0.48965,0.22371,2.22561,1.53885,1.09065,0.0008119,0.0008119,0.0008119
21,406.381,2.19544,1.50567,1.07089,0.79152,0.449,0.46062,0.18708,2.30191,1.63178,1.09574,0.000802,0.000802,0.000802
22,425.088,2.14349,1.49689,1.05538,0.86747,0.45034,0.49998,0.2064,2.28221,1.54138,1.0863,0.0007921,0.0007921,0.0007921
23,443.922,2.14299,1.44711,1.06119,0.85533,0.45743,0.50405,0.22406,2.19873,1.53872,1.06246,0.0007822,0.0007822,0.0007822
24,464.294,2.1659,1.52838,1.06191,0.82223,0.47142,0.51971,0.2295,2.18094,1.5169,1.07091,0.0007723,0.0007723,0.0007723
25,484.443,2.09628,1.45176,1.03835,0.82474,0.46714,0.49577,0.20083,2.28586,1.50291,1.07923,0.0007624,0.0007624,0.0007624
26,503.285,2.07852,1.40942,1.0371,0.88485,0.4209,0.48902,0.23085,2.12149,1.60376,1.05383,0.0007525,0.0007525,0.0007525
27,521.351,2.10619,1.44217,1.03069,0.84494,0.4641,0.49775,0.2019,2.25878,1.4959,1.07256,0.0007426,0.0007426,0.0007426
28,539.464,2.07745,1.43885,1.04074,0.8695,0.46998,0.51592,0.22721,2.16762,1.47969,1.0608,0.0007327,0.0007327,0.0007327
29,557.976,2.04876,1.35844,1.04122,0.87772,0.48447,0.53518,0.23602,2.17104,1.41412,1.07349,0.0007228,0.0007228,0.0007228
30,578.042,2.11178,1.42793,1.04466,0.92542,0.48439,0.55495,0.24963,2.09218,1.41187,1.04358,0.0007129,0.0007129,0.0007129
31,598.245,2.05969,1.37679,1.03299,0.86356,0.47746,0.52205,0.22501,2.183,1.46233,1.0589,0.000703,0.000703,0.000703
32,616.221,2.08246,1.40015,1.04006,0.85664,0.49115,0.53716,0.25079,2.08833,1.43,1.03883,0.0006931,0.0006931,0.0006931
33,634.236,2.03894,1.39573,1.02796,0.84413,0.47575,0.50315,0.20625,2.24552,1.54048,1.07007,0.0006832,0.0006832,0.0006832
34,652.374,2.051,1.37152,1.02484,0.86251,0.48943,0.55312,0.25386,2.09471,1.40616,1.04036,0.0006733,0.0006733,0.0006733
35,671.812,2.00639,1.3247,1.03269,0.81265,0.45085,0.50001,0.21801,2.20004,1.51325,1.06388,0.0006634,0.0006634,0.0006634
36,689.899,2.05188,1.40722,1.02627,0.86154,0.46049,0.50373,0.2168,2.18639,1.49551,1.05816,0.0006535,0.0006535,0.0006535
37,708.913,1.98277,1.33209,1.01745,0.86919,0.48768,0.54102,0.26399,2.04249,1.39032,1.03002,0.0006436,0.0006436,0.0006436
