epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.66068,3.77498,7.50501,1.73932,0,0,0,0,3.22869,6.21216,1.41023,0.000327869,0.000327869,0.000327869
2,10.9719,3.21189,5.32686,1.32773,0.18687,0.03482,0.04916,0.01752,3.23489,5.09805,1.36793,0.000654656,0.000654656,0.000654656
3,16.1113,2.94608,4.36439,1.25173,0.24174,0.16095,0.11408,0.04349,2.93376,3.54391,1.28125,0.000974844,0.000974844,0.000974844
4,21.0308,2.90527,3.92302,1.2376,0.20257,0.14336,0.09824,0.03229,3.21326,3.43744,1.33636,0.0009703,0.0009703,0.0009703
5,25.7572,2.78669,3.49441,1.20314,0.3878,0.27713,0.22745,0.08889,2.67689,2.89688,1.2128,0.0009604,0.0009604,0.0009604
6,30.506,2.72204,3.18622,1.18789,0.48223,0.26249,0.26136,0.10205,2.6744,2.82188,1.18696,0.0009505,0.0009505,0.0009505
7,35.3166,2.68996,2.97223,1.16032,0.5311,0.31229,0.29094,0.11854,2.53893,2.56641,1.16654,0.0009406,0.0009406,0.0009406
8,40.1229,2.64542,2.84906,1.17174,0.50371,0.3155,0.29669,0.12153,2.58755,2.41243,1.16298,0.0009307,0.0009307,0.0009307
9,45.0732,2.57421,2.63988,1.14857,0.49238,0.29299,0.28498,0.1038,2.67436,2.41734,1.18188,0.0009208,0.0009208,0.0009208
10,49.8226,2.5855,2.62626,1.15837,0.64609,0.3479,0.36055,0.14775,2.45301,2.2089,1.13825,0.0009109,0.0009109,0.0009109
11,54.7457,2.47158,2.40067,1.11362,0.51328,0.32449,0.31378,0.11265,2.73499,2.35299,1.17821,0.000901,0.000901,0.000901
12,59.4883,2.54035,2.47183,1.13096,0.65769,0.35059,0.37023,0.1582,2.49541,2.16262,1.16214,0.0008911,0.0008911,0.0008911
13,64.3214,2.50159,2.37121,1.12933,0.7242,0.36904,0.39611,0.16609,2.46126,2.07574,1.12675,0.0008812,0.0008812,0.0008812
14,69.2086,2.48572,2.28848,1.12351,0.73308,0.38664,0.40598,0.17676,2.38146,2.01878,1.12302,0.0008713,0.0008713,0.0008713
15,74.1399,2.43291,2.24479,1.11136,0.7222,0.3709,0.39286,0.166,2.41187,2.01714,1.12202,0.0008614,0.0008614,0.0008614
16,78.897,2.37413,2.11352,1.09078,0.71083,0.39283,0.41065,0.17643,2.37043,2.05755,1.11779,0.0008515,0.0008515,0.0008515
17,83.8062,2.41294,2.11598,1.0994,0.65363,0.37024,0.39481,0.1646,2.43582,1.99034,1.11618,0.0008416,0.0008416,0.0008416
18,88.4872,2.3875,2.06261,1.0907,0.75544,0.39293,0.42122,0.17405,2.36158,2.00273,1.10925,0.0008317,0.0008317,0.0008317
19,93.3327,2.43057,2.11996,1.09897,0.73008,0.40861,0.42647,0.17213,2.40739,1.89134,1.10515,0.0008218,0.0008218,0.0008218
20,98.1156,2.32486,1.98589,1.07877,0.7328,0.41101,0.43968,0.18692,2.30991,1.88257,1.08377,0.0008119,0.0008119,0.0008119
21,103.016,2.31549,1.93007,1.07437,0.73618,0.38814,0.41863,0.18295,2.34834,1.93142,1.11887,0.000802,0.000802,0.000802
22,107.812,2.28548,1.92775,1.07175,0.73234,0.39801,0.4179,0.16035,2.45131,1.89479,1.1006,0.0007921,0.0007921,0.0007921
23,112.594,2.3016,1.85674,1.08086,0.77759,0.39591,0.44914,0.19122,2.31981,1.83129,1.08681,0.0007822,0.0007822,0.0007822
