epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1714,3.4281,6.34184,1.58562,0.21725,0.16452,0.07105,0.02367,3.11908,inf,1.46619,0.000327869,0.000327869,0.000327869
2,36.5186,2.81008,2.6663,1.25616,0.10249,0.24706,0.0341,0.01001,3.01393,100.453,1.38675,0.000659893,0.000659893,0.000659893
3,70.9964,2.6525,2.41428,1.20496,0.10249,0.24706,0.0341,0.01001,3.92034,inf,17.6443,0.000990597,0.000990597,0.000990597
4,88.3121,2.65653,2.37579,1.20447,0.4761,0.37063,0.29975,0.10749,2.61727,2.68718,1.21277,0.00099406,0.00099406,0.00099406
5,107.321,2.5805,2.18802,1.16718,0.38065,0.24967,0.18046,0.05974,2.61219,2.99521,1.20122,0.00099208,0.00099208,0.00099208
6,125.042,2.58162,2.09205,1.17016,0.58902,0.37473,0.36721,0.14977,2.55703,2.39121,1.19961,0.0009901,0.0009901,0.0009901
7,143.76,2.51667,2.03209,1.1393,0.69576,0.3973,0.41307,0.16793,2.45686,2.01888,1.16763,0.00098812,0.00098812,0.00098812
8,162.463,2.49011,1.97639,1.15202,0.60592,0.32212,0.35091,0.13707,2.57865,2.27601,1.18957,0.00098614,0.00098614,0.00098614
9,179.762,2.42377,1.84214,1.13313,0.78547,0.42746,0.45499,0.18381,2.44145,1.8856,1.15102,0.00098416,0.00098416,0.00098416
10,198.531,2.40837,1.86312,1.13065,0.72631,0.41559,0.40579,0.14387,2.4936,1.86108,1.15092,0.00098218,0.00098218,0.00098218
11,215.828,2.33432,1.71233,1.09659,0.72392,0.43406,0.44118,0.17646,2.33535,1.75985,1.11107,0.0009802,0.0009802,0.0009802
12,233.11,2.37396,1.81885,1.11147,0.81057,0.44837,0.47492,0.20251,2.35586,1.68776,1.12775,0.00097822,0.00097822,0.00097822
13,251.783,2.3297,1.72891,1.10772,0.71075,0.43334,0.43688,0.17239,2.41598,1.71312,1.13347,0.00097624,0.00097624,0.00097624
14,269.121,2.30815,1.69781,1.09605,0.79537,0.44427,0.47268,0.20514,2.29833,1.65334,1.11461,0.00097426,0.00097426,0.00097426
15,287.948,2.2763,1.69157,1.08774,0.81478,0.4196,0.46154,0.18292,2.39548,1.70818,1.11461,0.00097228,0.00097228,0.00097228
16,305.284,2.24585,1.58748,1.07949,0.8167,0.45034,0.48546,0.21261,2.25326,1.66802,1.10233,0.0009703,0.0009703,0.0009703
17,324.014,2.28159,1.62377,1.08147,0.75639,0.41662,0.44783,0.17494,2.43668,1.71529,1.11766,0.00096832,0.00096832,0.00096832
18,341.329,2.24848,1.57585,1.07544,0.68974,0.38715,0.38388,0.1375,2.48142,1.78473,1.13799,0.00096634,0.00096634,0.00096634
