epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1731,3.43489,8.15153,1.58356,0.31208,0.22612,0.16249,0.05482,2.76435,4.48912,1.32761,0.000327869,0.000327869,0.000327869
2,28.2731,2.74743,2.75392,1.22943,0.35781,0.26338,0.20256,0.07214,2.73043,36.0474,1.2869,0.000659893,0.000659893,0.000659893
3,43.2004,2.64222,2.45081,1.19856,0.3056,0.21723,0.14431,0.05095,3.11049,19.4872,1.38633,0.000990597,0.000990597,0.000990597
4,56.4358,2.63293,2.35421,1.20137,0.27026,0.26239,0.14768,0.04351,nan,nan,nan,0.00099406,0.00099406,0.00099406
5,69.7082,2.58897,2.22118,1.16919,0.48031,0.32203,0.28416,0.10562,2.53326,2.67058,1.19458,0.00099208,0.00099208,0.00099208
6,84.303,2.5269,2.09682,1.16217,0.55649,0.38359,0.36841,0.14607,2.50162,2.72952,1.17197,0.0009901,0.0009901,0.0009901
7,98.7646,2.50637,2.00972,1.13788,0.67796,0.40708,0.40083,0.16233,2.43572,2.0897,1.16648,0.00098812,0.00098812,0.00098812
8,113.19,2.46171,1.98611,1.14094,0.66992,0.38043,0.37041,0.13004,2.58878,1.9468,1.17502,0.00098614,0.00098614,0.00098614
9,126.461,2.45432,1.90969,1.13413,0.57501,0.39019,0.36822,0.13391,2.50732,2.11605,1.15994,0.00098416,0.00098416,0.00098416
10,139.737,2.42071,1.90937,1.13079,0.72939,0.4252,0.41223,0.15338,2.46621,1.80601,1.14551,0.00098218,0.00098218,0.00098218
11,153.079,2.30347,1.71638,1.08714,0.69465,0.42379,0.42823,0.16662,2.4754,1.86105,1.13974,0.0009802,0.0009802,0.0009802
12,167.498,2.38817,1.80659,1.10735,0.62471,0.33553,0.35107,0.1365,2.50286,2.03961,1.14574,0.00097822,0.00097822,0.00097822
13,180.811,2.3428,1.77292,1.10587,0.62287,0.4019,0.3394,0.14171,2.38151,1.95373,1.12514,0.00097624,0.00097624,0.00097624
14,194.109,2.35352,1.75024,1.1023,0.50407,0.38412,0.27821,0.10342,2.50767,4.91965,1.14925,0.00097426,0.00097426,0.00097426
15,207.464,2.28568,1.70073,1.0858,0.77894,0.44243,0.45743,0.20725,2.24946,1.69579,1.09124,0.00097228,0.00097228,0.00097228
16,221.875,2.21797,1.59437,1.07225,0.83876,0.47082,0.5011,0.22116,2.22388,1.58764,1.0648,0.0009703,0.0009703,0.0009703
17,236.272,2.26786,1.62498,1.07074,0.73317,0.41199,0.42942,0.17829,2.30339,1.73535,1.08153,0.00096832,0.00096832,0.00096832
18,249.547,2.24348,1.61711,1.0633,0.66915,0.42119,0.39874,0.13672,2.49612,1.73895,1.13348,0.00096634,0.00096634,0.00096634
19,262.884,2.28608,1.67083,1.07722,0.61191,0.33852,0.35753,0.1363,2.49053,1.98826,1.11366,0.00096436,0.00096436,0.00096436
20,276.174,2.19881,1.56286,1.05498,0.82316,0.45416,0.48371,0.20363,2.28373,1.54687,1.08167,0.00096238,0.00096238,0.00096238
21,289.452,2.21264,1.53422,1.06626,0.81549,0.43391,0.44099,0.16804,2.42807,1.70701,1.11348,0.0009604,0.0009604,0.0009604
22,302.758,2.16348,1.50802,1.04742,0.79305,0.46088,0.48623,0.20671,2.22616,1.53229,1.06379,0.00095842,0.00095842,0.00095842
23,316.095,2.14677,1.46563,1.05172,0.84992,0.45804,0.50295,0.22272,2.20696,1.50353,1.05359,0.00095644,0.00095644,0.00095644
24,330.538,2.17368,1.50929,1.05255,0.67606,0.3021,0.35491,0.15068,2.45126,2.01924,1.11467,0.00095446,0.00095446,0.00095446
25,343.852,2.12818,1.48023,1.04127,0.86021,0.48018,0.52024,0.22999,2.20749,1.48238,1.07041,0.00095248,0.00095248,0.00095248
26,358.269,2.12725,1.45995,1.03977,0.59024,0.24855,0.27982,0.12034,2.40154,2.19173,1.10659,0.0009505,0.0009505,0.0009505
27,371.589,2.1415,1.47964,1.02943,0.85583,0.44953,0.49714,0.21427,2.26493,1.52527,1.07295,0.00094852,0.00094852,0.00094852
28,384.902,2.12477,1.4652,1.03804,0.76823,0.45277,0.46005,0.1879,2.23459,1.5501,1.06254,0.00094654,0.00094654,0.00094654
29,398.973,2.07618,1.39132,1.03152,0.74802,0.42932,0.45888,0.19046,2.29989,1.62322,1.08217,0.00094456,0.00094456,0.00094456
30,412.251,2.14803,1.47302,1.04088,0.87157,0.46505,0.51316,0.21413,2.23978,1.44946,1.06648,0.00094258,0.00094258,0.00094258
31,425.593,2.0927,1.42037,1.0299,0.77084,0.44549,0.4689,0.18178,2.31501,1.53956,1.08037,0.0009406,0.0009406,0.0009406
32,438.981,2.09506,1.43094,1.03513,0.83418,0.48733,0.53505,0.25258,2.06597,1.40899,1.02518,0.00093862,0.00093862,0.00093862
33,453.379,2.062,1.40916,1.02112,0.85105,0.47293,0.51999,0.23967,2.11705,1.43601,1.03571,0.00093664,0.00093664,0.00093664
34,466.662,2.074,1.41799,1.02193,0.83588,0.478,0.5186,0.2348,2.15356,1.4461,1.04063,0.00093466,0.00093466,0.00093466
35,479.988,2.06035,1.39799,1.03387,0.84836,0.46888,0.51214,0.22661,2.20529,1.53939,1.05355,0.00093268,0.00093268,0.00093268
36,493.263,2.06687,1.44045,1.02206,0.87001,0.48481,0.52251,0.24075,2.1028,1.4335,1.03492,0.0009307,0.0009307,0.0009307
37,506.539,2.05072,1.39351,1.02207,0.85864,0.48483,0.52073,0.23739,2.13434,1.41331,1.04151,0.00092872,0.00092872,0.00092872
38,519.856,2.03523,1.37412,1.01356,0.86841,0.47166,0.52812,0.24777,2.09113,1.41557,1.03022,0.00092674,0.00092674,0.00092674
39,533.167,2.03939,1.34803,1.02221,0.88629,0.4692,0.53438,0.23881,2.1095,1.38549,1.02538,0.00092476,0.00092476,0.00092476
40,546.439,2.03691,1.36184,1.01245,0.89228,0.48858,0.53696,0.23774,2.08631,1.35314,1.02158,0.00092278,0.00092278,0.00092278
41,559.706,2.0319,1.35257,1.01457,0.79611,0.48062,0.51437,0.21176,2.21046,1.42965,1.04001,0.0009208,0.0009208,0.0009208
42,572.989,2.03841,1.34461,0.99422,0.90937,0.48757,0.54645,0.24398,2.11119,1.35038,1.02755,0.00091882,0.00091882,0.00091882
43,586.314,1.98943,1.31739,1.00215,0.91166,0.48932,0.55043,0.24569,2.08529,1.3818,1.02177,0.00091684,0.00091684,0.00091684
44,599.623,1.97576,1.292,1.00174,0.86386,0.48673,0.52445,0.23495,2.15724,1.40618,1.0443,0.00091486,0.00091486,0.00091486
45,612.943,2.00717,1.33702,1.0076,0.85064,0.48608,0.55187,0.25953,2.06247,1.35548,1.0183,0.00091288,0.00091288,0.00091288
46,627.329,1.98164,1.30568,1.01314,0.89334,0.48733,0.54913,0.26344,2.01841,1.36064,1.01642,0.0009109,0.0009109,0.0009109
47,641.749,1.94094,1.27022,0.99476,0.92251,0.47227,0.55087,0.25802,2.03564,1.35026,1.01435,0.00090892,0.00090892,0.00090892
48,655.013,1.98576,1.33764,1.00439,0.90764,0.46616,0.54105,0.25345,2.05409,1.36603,1.01361,0.00090694,0.00090694,0.00090694
49,668.319,2.0039,1.2969,0.99333,0.89692,0.48036,0.52973,0.23508,2.1209,1.44789,1.02999,0.00090496,0.00090496,0.00090496
50,681.623,1.93454,1.25401,0.98453,0.86191,0.49631,0.56459,0.25963,2.09794,1.39849,1.02621,0.00090298,0.00090298,0.00090298
51,695.01,1.94997,1.27672,0.98215,0.8585,0.484,0.53573,0.24247,2.07189,1.36229,1.01636,0.000901,0.000901,0.000901
52,708.346,1.94866,1.29218,0.99635,0.83026,0.50326,0.54602,0.25076,2.06185,1.33272,1.01927,0.00089902,0.00089902,0.00089902
53,721.629,1.94237,1.27343,0.98568,0.88307,0.50087,0.56944,0.26661,2.02516,1.27947,1.01242,0.00089704,0.00089704,0.00089704
54,735.976,1.92964,1.26289,0.99348,0.89992,0.49897,0.5585,0.25796,2.07754,1.34144,1.02127,0.00089506,0.00089506,0.00089506
55,749.258,1.93581,1.28806,0.98889,0.8832,0.47856,0.54976,0.2633,2.02562,1.32896,1.0146,0.00089308,0.00089308,0.00089308
56,762.577,1.93038,1.21837,0.9842,0.88653,0.49,0.56238,0.24772,2.11105,1.29849,1.02341,0.0008911,0.0008911,0.0008911
57,775.939,1.92672,1.24448,0.98605,0.9146,0.51009,0.58213,0.27792,2.01583,1.25491,1.01115,0.00088912,0.00088912,0.00088912
58,790.353,1.906,1.25035,0.97953,0.89301,0.4868,0.56167,0.24538,2.10785,1.32351,1.0177,0.00088714,0.00088714,0.00088714
59,803.662,1.89367,1.2253,0.98204,0.87129,0.49054,0.54363,0.24569,2.12618,1.33897,1.0336,0.00088516,0.00088516,0.00088516
60,816.928,1.9414,1.25222,0.98458,0.91241,0.49357,0.56306,0.26591,2.05357,1.29471,1.01312,0.00088318,0.00088318,0.00088318
61,830.234,1.91082,1.23818,0.98503,0.91109,0.50049,0.57517,0.26224,2.07841,1.31819,1.0187,0.0008812,0.0008812,0.0008812
62,843.503,1.85437,1.21187,0.97359,0.90657,0.48333,0.53129,0.22928,2.12286,1.3872,1.03376,0.00087922,0.00087922,0.00087922
63,856.913,1.88704,1.2059,0.98896,0.90134,0.50093,0.56416,0.26119,2.03735,1.28047,1.0162,0.00087724,0.00087724,0.00087724
64,870.25,1.89546,1.21397,0.97638,0.86001,0.4976,0.55389,0.24488,2.09919,1.31851,1.01806,0.00087526,0.00087526,0.00087526
65,883.558,1.89394,1.25024,0.96932,0.91063,0.49601,0.57416,0.25538,2.05586,1.26833,1.0117,0.00087328,0.00087328,0.00087328
66,896.859,1.8899,1.21059,0.97779,0.87982,0.50661,0.57902,0.26492,2.10567,1.3004,1.023,0.0008713,0.0008713,0.0008713
67,910.249,1.88947,1.22789,0.97777,0.88698,0.49369,0.54129,0.25272,2.04739,1.30644,1.01497,0.00086932,0.00086932,0.00086932
68,923.613,1.87917,1.21657,0.96925,0.89659,0.50535,0.56631,0.26215,2.06364,1.30887,1.02054,0.00086734,0.00086734,0.00086734
69,936.925,1.85005,1.20296,0.96989,0.86361,0.49751,0.54231,0.24439,2.09848,1.33074,1.02426,0.00086536,0.00086536,0.00086536
70,950.201,1.82758,1.18003,0.96782,0.90001,0.50265,0.5787,0.27331,1.99731,1.25874,1.00354,0.00086338,0.00086338,0.00086338
71,963.553,1.83175,1.1697,0.96935,0.89012,0.49991,0.58631,0.283,1.95969,1.23453,0.9944,0.0008614,0.0008614,0.0008614
72,977.984,1.84818,1.19652,0.96982,0.8796,0.51033,0.5905,0.27809,2.02023,1.23399,1.00553,0.00085942,0.00085942,0.00085942
73,991.286,1.89495,1.20814,0.98888,0.91423,0.48917,0.57578,0.27198,2.0231,1.29098,1.00738,0.00085744,0.00085744,0.00085744
74,1004.6,1.80981,1.1508,0.96122,0.86817,0.50934,0.584,0.28579,1.9719,1.23139,0.99603,0.00085546,0.00085546,0.00085546
75,1019.14,1.83148,1.15799,0.96445,0.90989,0.49703,0.5789,0.27237,2.013,1.2587,1.01145,0.00085348,0.00085348,0.00085348
76,1032.46,1.81728,1.16884,0.96715,0.87792,0.48308,0.5764,0.26528,2.05195,1.25884,1.00899,0.0008515,0.0008515,0.0008515
77,1045.8,1.80479,1.15487,0.96688,0.90768,0.51589,0.5977,0.28351,2.00182,1.21964,1.00307,0.00084952,0.00084952,0.00084952
78,1059.12,1.79461,1.12931,0.96038,0.90578,0.51022,0.59351,0.26613,2.04951,1.24598,1.01047,0.00084754,0.00084754,0.00084754
79,1072.51,1.82021,1.14603,0.95693,0.88316,0.50561,0.57298,0.27625,1.9868,1.30063,1.00098,0.00084556,0.00084556,0.00084556
80,1085.85,1.82121,1.16775,0.97334,0.90618,0.5084,0.58601,0.27552,1.99501,1.24381,1.00546,0.00084358,0.00084358,0.00084358
81,1099.22,1.82697,1.19411,0.96185,0.88493,0.50964,0.5736,0.26675,2.0061,1.23679,1.00762,0.0008416,0.0008416,0.0008416
82,1112.51,1.8277,1.16431,0.96404,0.90257,0.4948,0.58097,0.27849,1.96994,1.26541,0.99475,0.00083962,0.00083962,0.00083962
83,1125.89,1.77598,1.11106,0.96041,0.90138,0.50686,0.59892,0.28197,1.99465,1.22555,1.00519,0.00083764,0.00083764,0.00083764
84,1139.24,1.79896,1.15146,0.95389,0.89004,0.50689,0.58812,0.27486,2.02658,1.22097,1.00921,0.00083566,0.00083566,0.00083566
85,1152.58,1.79384,1.14683,0.953,0.92532,0.52109,0.61953,0.29312,1.95708,1.20069,0.99689,0.00083368,0.00083368,0.00083368
86,1167.03,1.76643,1.11701,0.95546,0.85868,0.51077,0.58175,0.26236,2.06529,1.28177,1.01247,0.0008317,0.0008317,0.0008317
87,1180.32,1.80777,1.14896,0.96117,0.8918,0.51078,0.59132,0.2826,1.94989,1.22127,0.99586,0.00082972,0.00082972,0.00082972
88,1193.63,1.78622,1.14858,0.96527,0.89332,0.49711,0.58965,0.29021,1.95609,1.21852,0.99297,0.00082774,0.00082774,0.00082774
89,1206.88,1.79954,1.13924,0.95323,0.90714,0.50789,0.59601,0.28534,1.96443,1.21849,0.99643,0.00082576,0.00082576,0.00082576
90,1220.22,1.77122,1.11464,0.95413,0.86174,0.52575,0.60393,0.29071,1.98342,1.18538,0.99979,0.00082378,0.00082378,0.00082378
91,1233.55,1.75109,1.11394,0.94932,0.9108,0.50556,0.58961,0.27933,2.00418,1.24459,1.00405,0.0008218,0.0008218,0.0008218
