epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81664,3.77498,7.50501,1.73932,0,0,0,0,3.22869,6.21216,1.41023,0.000327869,0.000327869,0.000327869
2,11.1689,3.21463,5.31907,1.32864,0.15439,0.02888,0.02765,0.00888,3.41862,5.22132,1.3902,0.000659893,0.000659893,0.000659893
3,16.2927,2.95327,4.34073,1.25491,0.29188,0.13389,0.11068,0.04179,2.93691,3.647,1.27069,0.000990597,0.000990597,0.000990597
4,21.244,2.87818,3.89827,1.2315,0.21383,0.15078,0.09477,0.03055,3.28012,3.49788,1.32526,0.00099406,0.00099406,0.00099406
5,25.9599,2.79046,3.45593,1.20576,0.3765,0.27018,0.21709,0.08751,2.70375,2.88683,1.21465,0.00099208,0.00099208,0.00099208
6,30.8912,2.76481,3.19759,1.20015,0.45908,0.28213,0.2557,0.09827,2.67578,2.66386,1.20332,0.0009901,0.0009901,0.0009901
7,35.7784,2.68146,2.98376,1.15807,0.46367,0.30883,0.29265,0.11005,2.62318,2.47498,1.18963,0.00098812,0.00098812,0.00098812
8,41.0333,2.66847,2.81813,1.1805,0.50553,0.31212,0.28472,0.11757,2.52658,2.47309,1.14963,0.00098614,0.00098614,0.00098614
9,46.2197,2.57498,2.6445,1.15392,0.54788,0.32581,0.31056,0.12197,2.61009,2.37775,1.17514,0.00098416,0.00098416,0.00098416
10,51.1597,2.62763,2.62569,1.1647,0.58821,0.33976,0.3543,0.144,2.4651,2.22427,1.14309,0.00098218,0.00098218,0.00098218
11,56.7624,2.47128,2.40283,1.11719,0.61468,0.3378,0.34861,0.12793,2.58692,2.28281,1.1513,0.0009802,0.0009802,0.0009802
12,61.5644,2.55558,2.48803,1.13556,0.72924,0.33726,0.37187,0.1586,2.49027,2.20178,1.15886,0.00097822,0.00097822,0.00097822
13,66.629,2.49582,2.36562,1.12957,0.70218,0.35555,0.38108,0.1565,2.4551,2.11922,1.12986,0.00097624,0.00097624,0.00097624
14,71.4548,2.47786,2.26596,1.12466,0.66316,0.37402,0.38174,0.15414,2.50313,2.08369,1.15853,0.00097426,0.00097426,0.00097426
15,76.2768,2.40702,2.20678,1.10711,0.7608,0.38605,0.41321,0.17797,2.38988,1.96413,1.11313,0.00097228,0.00097228,0.00097228
16,81.2418,2.41494,2.08733,1.10687,0.70768,0.38469,0.40415,0.17016,2.4358,2.00862,1.13553,0.0009703,0.0009703,0.0009703
17,85.8799,2.42646,2.09476,1.10278,0.74388,0.38795,0.42338,0.16947,2.39267,1.94167,1.11217,0.00096832,0.00096832,0.00096832
18,90.7988,2.40201,2.06171,1.09965,0.69273,0.38209,0.39245,0.14491,2.50436,1.96641,1.13331,0.00096634,0.00096634,0.00096634
19,95.7911,2.41099,2.10527,1.10076,0.70595,0.40385,0.41961,0.17201,2.38767,1.91396,1.11274,0.00096436,0.00096436,0.00096436
20,100.468,2.33664,1.98652,1.08242,0.76829,0.42069,0.45036,0.19279,2.34983,1.8622,1.10847,0.00096238,0.00096238,0.00096238
21,105.245,2.32737,1.90758,1.08439,0.74437,0.41075,0.42008,0.17986,2.32149,1.88397,1.10887,0.0009604,0.0009604,0.0009604
22,110.001,2.31567,1.92966,1.08301,0.73767,0.381,0.42145,0.16711,2.44719,1.90769,1.11036,0.00095842,0.00095842,0.00095842
23,114.985,2.29587,1.84721,1.08412,0.85296,0.41118,0.45738,0.20055,2.31161,1.79732,1.09455,0.00095644,0.00095644,0.00095644
24,119.95,2.34921,1.92082,1.08361,0.69541,0.40935,0.41078,0.15374,2.39199,1.9698,1.10341,0.00095446,0.00095446,0.00095446
25,124.745,2.28574,1.86407,1.07019,0.74105,0.41286,0.42983,0.18638,2.28836,1.8501,1.08418,0.00095248,0.00095248,0.00095248
26,130.028,2.25431,1.82326,1.06786,0.81011,0.41369,0.4502,0.19019,2.29461,1.80101,1.09253,0.0009505,0.0009505,0.0009505
27,134.859,2.31242,1.88047,1.0679,0.75633,0.41747,0.43769,0.18802,2.28965,1.80248,1.09427,0.00094852,0.00094852,0.00094852
28,139.637,2.27835,1.84193,1.07619,0.80204,0.42519,0.45662,0.20285,2.23556,1.76919,1.07974,0.00094654,0.00094654,0.00094654
29,144.576,2.22018,1.7492,1.06289,0.74974,0.42842,0.45543,0.19017,2.28192,1.81194,1.08077,0.00094456,0.00094456,0.00094456
30,149.386,2.2994,1.84111,1.07832,0.80796,0.42094,0.4639,0.19817,2.25252,1.73996,1.07785,0.00094258,0.00094258,0.00094258
31,154.24,2.2761,1.78217,1.0688,0.83708,0.42458,0.47804,0.20376,2.29355,1.74923,1.08763,0.0009406,0.0009406,0.0009406
32,159.242,2.24202,1.7523,1.07044,0.82959,0.43741,0.47738,0.21559,2.20971,1.70871,1.0686,0.00093862,0.00093862,0.00093862
33,164.158,2.25073,1.77147,1.0663,0.79346,0.42661,0.46993,0.1927,2.32925,1.75291,1.08398,0.00093664,0.00093664,0.00093664
34,169.396,2.24161,1.74523,1.05552,0.8554,0.41531,0.4634,0.20503,2.28936,1.6994,1.08072,0.00093466,0.00093466,0.00093466
35,174.24,2.22989,1.71171,1.06746,0.81138,0.41651,0.47851,0.21842,2.23765,1.70545,1.0724,0.00093268,0.00093268,0.00093268
36,179.213,2.25762,1.73668,1.05862,0.74505,0.4166,0.44257,0.17193,2.33598,1.73832,1.07771,0.0009307,0.0009307,0.0009307
37,184.084,2.18158,1.66944,1.04421,0.67407,0.39712,0.41774,0.16373,2.38591,1.77428,1.08728,0.00092872,0.00092872,0.00092872
38,188.702,2.18915,1.64355,1.04425,0.79801,0.42972,0.47627,0.22007,2.16029,1.64399,1.04917,0.00092674,0.00092674,0.00092674
39,193.625,2.19038,1.67042,1.0505,0.8201,0.44842,0.49759,0.22189,2.17115,1.58916,1.04895,0.00092476,0.00092476,0.00092476
