epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08507,3.61942,10.1572,1.68068,0.39098,0.01207,0.01375,0.00425,3.04373,93.983,1.37381,0.000327869,0.000327869,0.000327869
2,15.7085,2.90823,3.32829,1.28209,0.44954,0.22864,0.21791,0.08048,2.88175,3.12439,1.28016,0.000659893,0.000659893,0.000659893
3,23.2194,2.71215,2.70673,1.21451,0.53896,0.31034,0.29981,0.11531,2.67965,2.4836,1.24334,0.000990597,0.000990597,0.000990597
4,31.1468,2.63213,2.47015,1.1968,0.31804,0.22911,0.16388,0.04577,3.17471,3.35854,1.35587,0.00099406,0.00099406,0.00099406
5,38.0753,2.61059,2.31146,1.1685,0.64587,0.35903,0.3614,0.14297,2.5381,2.22529,1.18381,0.00099208,0.00099208,0.00099208
6,45.5111,2.54137,2.15629,1.15432,0.60969,0.40887,0.39646,0.15834,2.50075,2.10273,1.16866,0.0009901,0.0009901,0.0009901
7,53.0782,2.53159,2.0801,1.13466,0.58807,0.30668,0.30776,0.12779,2.48894,2.41367,1.1579,0.00098812,0.00098812,0.00098812
8,60.0128,2.45099,2.00958,1.13315,0.74218,0.39889,0.42132,0.17202,2.41568,1.90208,1.13916,0.00098614,0.00098614,0.00098614
9,67.4439,2.42054,1.93041,1.12069,0.69414,0.37799,0.39489,0.14705,2.5343,2.00213,1.15829,0.00098416,0.00098416,0.00098416
10,74.3622,2.42466,1.95467,1.1294,0.71037,0.41424,0.42064,0.18198,2.40897,1.88017,1.13184,0.00098218,0.00098218,0.00098218
11,81.7831,2.32499,1.7991,1.08814,0.73277,0.4214,0.45378,0.1763,2.46926,1.88307,1.14101,0.0009802,0.0009802,0.0009802
12,88.679,2.36951,1.82155,1.0942,0.70208,0.39567,0.41512,0.15292,2.52241,1.90047,1.14517,0.00097822,0.00097822,0.00097822
13,95.6167,2.34761,1.78754,1.10029,0.83279,0.40739,0.44677,0.2005,2.29111,1.79187,1.09735,0.00097624,0.00097624,0.00097624
14,103.028,2.32287,1.7804,1.08546,0.83283,0.44312,0.48392,0.20108,2.27568,1.66723,1.09611,0.00097426,0.00097426,0.00097426
15,110.525,2.29185,1.72194,1.08367,0.71398,0.3563,0.39629,0.16189,2.38933,1.933,1.10285,0.00097228,0.00097228,0.00097228
16,117.516,2.26251,1.65302,1.0713,0.9001,0.42578,0.48811,0.21558,2.30288,1.647,1.09047,0.0009703,0.0009703,0.0009703
17,125.036,2.31792,1.68461,1.07576,0.79586,0.4217,0.46726,0.18272,2.44644,1.74143,1.11423,0.00096832,0.00096832,0.00096832
18,131.95,2.26592,1.63501,1.06253,0.76029,0.42351,0.44623,0.15921,2.41209,1.73734,1.09573,0.00096634,0.00096634,0.00096634
19,138.957,2.29117,1.71308,1.07413,0.7526,0.39724,0.43502,0.15923,2.50737,1.73756,1.10886,0.00096436,0.00096436,0.00096436
20,145.814,2.20412,1.62256,1.05056,0.8269,0.4552,0.50149,0.22393,2.22974,1.56597,1.06765,0.00096238,0.00096238,0.00096238
21,153.249,2.1867,1.55816,1.04876,0.81126,0.44236,0.47327,0.19538,2.31347,1.65474,1.08136,0.0009604,0.0009604,0.0009604
22,160.175,2.17028,1.54987,1.04791,0.73442,0.42883,0.46352,0.19595,2.33741,1.68389,1.08689,0.00095842,0.00095842,0.00095842
23,167.107,2.15903,1.50503,1.04755,0.8199,0.45136,0.50376,0.22945,2.19276,1.53726,1.04789,0.00095644,0.00095644,0.00095644
24,174.527,2.17852,1.53564,1.04801,0.82621,0.45336,0.49089,0.1935,2.33006,1.55477,1.08852,0.00095446,0.00095446,0.00095446
25,181.417,2.16086,1.53833,1.04548,0.81886,0.46294,0.50267,0.21993,2.17625,1.59794,1.05229,0.00095248,0.00095248,0.00095248
26,188.321,2.12826,1.50503,1.03552,0.82263,0.42725,0.46956,0.21375,2.21254,1.65434,1.05951,0.0009505,0.0009505,0.0009505
27,195.24,2.1658,1.52071,1.03505,0.86995,0.46513,0.51684,0.22986,2.18631,1.48074,1.05332,0.00094852,0.00094852,0.00094852
28,202.676,2.1379,1.50781,1.03862,0.84255,0.45027,0.49913,0.2175,2.21315,1.55755,1.06704,0.00094654,0.00094654,0.00094654
29,209.581,2.08665,1.43232,1.03153,0.81592,0.45473,0.50679,0.21206,2.26457,1.53235,1.06952,0.00094456,0.00094456,0.00094456
30,216.994,2.14307,1.51037,1.03577,0.8218,0.47465,0.5207,0.22819,2.15454,1.47108,1.04463,0.00094258,0.00094258,0.00094258
