epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2256,3.26765,5.46552,1.51401,0.052,0.15215,0.0236,0.00837,2.64521,inf,1.43066,0.000327869,0.000327869,0.000327869
2,60.1587,2.77938,2.71981,1.25563,0.34376,0.18204,0.12384,0.03867,3.22503,3.98755,1.58931,0.000659893,0.000659893,0.000659893
3,92.942,2.67633,2.59516,1.2222,0.08217,0.05431,0.0162,0.00353,nan,nan,nan,0.000990597,0.000990597,0.000990597
4,122.535,2.7404,2.54411,1.22682,0.35195,0.27021,0.16018,0.04758,2.84516,10.865,1.28978,0.00099406,0.00099406,0.00099406
5,155.11,2.6488,2.29479,1.1901,0.08673,0.06893,0.02944,0.00986,nan,nan,nan,0.00099208,0.00099208,0.00099208
6,184.793,2.58805,2.14309,1.17908,0.41378,0.25598,0.22298,0.06765,2.90686,3.23045,1.26224,0.0009901,0.0009901,0.0009901
7,217.472,2.54583,2.03018,1.14695,0.52832,0.29183,0.29006,0.10899,2.67161,2.73997,1.20643,0.00098812,0.00098812,0.00098812
8,250.094,2.49691,2.03824,1.16053,0.69789,0.36457,0.35095,0.12198,2.70152,2.24758,1.2376,0.00098614,0.00098614,0.00098614
9,283.44,2.42601,1.86633,1.13157,0.75481,0.39363,0.40845,0.13709,2.61819,2.02425,1.19242,0.00098416,0.00098416,0.00098416
10,316.072,2.46399,1.88976,1.1491,0.55166,0.36719,0.29394,0.08772,2.80778,2.00446,1.22493,0.00098218,0.00098218,0.00098218
11,345.683,2.3362,1.71447,1.10251,0.55838,0.36374,0.31683,0.09373,2.85513,2.09883,1.2352,0.0009802,0.0009802,0.0009802
12,375.24,2.39473,1.80494,1.1163,0.71297,0.4251,0.43545,0.16671,2.48316,1.8625,1.15497,0.00097822,0.00097822,0.00097822
13,407.975,2.3541,1.73877,1.11643,0.8307,0.43571,0.47114,0.18898,2.37248,1.73257,1.12859,0.00097624,0.00097624,0.00097624
14,440.643,2.31881,1.70499,1.10318,0.79741,0.43273,0.4873,0.20897,2.27148,1.65733,1.09728,0.00097426,0.00097426,0.00097426
15,473.373,2.30564,1.6902,1.10057,0.80102,0.46045,0.47353,0.19915,2.27843,1.59114,1.10771,0.00097228,0.00097228,0.00097228
16,502.952,2.22093,1.57038,1.07665,0.80315,0.43978,0.48102,0.21204,2.23201,1.59278,1.0868,0.0009703,0.0009703,0.0009703
17,535.598,2.25916,1.59157,1.08044,0.77062,0.42641,0.44851,0.14479,2.50923,1.76747,1.14474,0.00096832,0.00096832,0.00096832
18,565.148,2.28,1.61053,1.084,0.73874,0.40283,0.42425,0.15124,2.50044,1.68321,1.13018,0.00096634,0.00096634,0.00096634
